what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662356024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662382024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339662392178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662397890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662398673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662400209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662417342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662418060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662422149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662424896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662434362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662437843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662445313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662446170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662450477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662451771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662473520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662475868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662478250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662489274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662501743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662503384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662540047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662549873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662554587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339662559143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662559634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662562776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339662565289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662565694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662586683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662587222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662587984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339662588774
